ts,pos_id,token_symbol,token_mint,token_program,is_token2022,token_extensions,exit_state,exit_reason,route_name,route_order,vsol_at_trigger,vsol_at_sell,migration_age,dex_id,pool_address,simulation_ok,simulation_error,custom_error_code,tx_sent,tx_sig,confirmed,confirm_error,jupiter_price_impact_pct,fallback_used,final_status,error_class,notes
2026-07-09T03:31:22,L0919a77,ROUTER,5ReYx9HTqmgRdYisJpGZvcan4zCNdYcKbbxa1L5Wpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,True,,,,,False,,,,failed,,sim_ok:pool=BwYNzqmt|sim_only:fallthrough
2026-07-09T03:32:25,L0919a77,ROUTER,5ReYx9HTqmgRdYisJpGZvcan4zCNdYcKbbxa1L5Wpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,True,,,,,False,,,,failed,,sim_ok:pool=BwYNzqmt|sim_only:fallthrough
2026-07-09T03:33:28,L0919a77,ROUTER,5ReYx9HTqmgRdYisJpGZvcan4zCNdYcKbbxa1L5Wpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,True,,,,,False,,,,failed,,sim_ok:pool=BwYNzqmt|sim_only:fallthrough
2026-07-09T03:34:32,L0919a77,ROUTER,5ReYx9HTqmgRdYisJpGZvcan4zCNdYcKbbxa1L5Wpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,True,,,,,False,,,,failed,,sim_ok:pool=BwYNzqmt|sim_only:fallthrough
2026-07-09T04:58:58,L647890a,ICM,X6MGonT78XsReMtfp7EZ8pmD28DT8G8fbwtgQvspump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T05:00:01,L647890a,ICM,X6MGonT78XsReMtfp7EZ8pmD28DT8G8fbwtgQvspump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T05:01:05,L647890a,ICM,X6MGonT78XsReMtfp7EZ8pmD28DT8G8fbwtgQvspump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T05:02:08,L647890a,ICM,X6MGonT78XsReMtfp7EZ8pmD28DT8G8fbwtgQvspump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T05:55:04,L122da63,Clicking,D5BELpjEUGVz3KVbFSBNNoJDshNcXo9cACFxRCpJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-09T05:56:08,L122da63,Clicking,D5BELpjEUGVz3KVbFSBNNoJDshNcXo9cACFxRCpJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
