trace_id,pos_id,pair_id,mint,symbol,live_or_paper,started_at,finished_at,duration_sec,n_events,first_event,last_event
tr_pending_1783562974,pending,tg_24XmpY1Xk2miETKY_1783562974,24XmpY1Xk2miETKYwFpLnHyqKLyewcQujMWXcfz6hHiv,24XmpY1X,unknown,2026-07-09T02:09:34.206178+00:00,2026-07-09T02:09:34.225484+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783562974,pending,tg_B5WUg5p3VZGgEcjx_1783562974,B5WUg5p3VZGgEcjxWbLE8Ncsp2ZbVK1dmRDVP1xRgfLv,B5WUg5p3,unknown,2026-07-09T02:09:34.333113+00:00,2026-07-09T02:09:34.402749+00:00,0.07,6,trace_started,trace_finished
tr_pending_1783562974,pending,tg_F8YTtf5cdo5RQGf9_1783562974,F8YTtf5cdo5RQGf9nuFwnvYpKg7jjrmNY2ipGnakyAym,F8YTtf5c,unknown,2026-07-09T02:09:34.463539+00:00,2026-07-09T02:09:34.508881+00:00,0.05,6,trace_started,trace_finished
tr_pending_1783562974,pending,tg_Hq6dfbewnAKiLdjt_1783562974,Hq6dfbewnAKiLdjtr8x2kzPj6bDEABmtPmQSV7uUHTF4,Hq6dfbew,unknown,2026-07-09T02:09:34.637995+00:00,2026-07-09T02:09:34.675657+00:00,0.04,6,trace_started,trace_finished
tr_pending_1783563019,pending,tg_8y83ZUQH8gsbYa9q_1783563019,8y83ZUQH8gsbYa9qEyYF6Wdqw3so7L9ThsWREuCVXWTr,8y83ZUQH,unknown,2026-07-09T02:10:19.226627+00:00,2026-07-09T02:10:19.370127+00:00,0.14,6,trace_started,trace_finished
tr_pending_1783563019,pending,tg_24XmpY1Xk2miETKY_1783563019,24XmpY1Xk2miETKYwFpLnHyqKLyewcQujMWXcfz6hHiv,24XmpY1X,unknown,2026-07-09T02:10:19.403808+00:00,2026-07-09T02:10:19.420774+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563019,pending,tg_B5WUg5p3VZGgEcjx_1783563019,B5WUg5p3VZGgEcjxWbLE8Ncsp2ZbVK1dmRDVP1xRgfLv,B5WUg5p3,unknown,2026-07-09T02:10:19.510596+00:00,2026-07-09T02:10:19.593723+00:00,0.08,6,trace_started,trace_finished
tr_pending_1783563019,pending,tg_F8YTtf5cdo5RQGf9_1783563019,F8YTtf5cdo5RQGf9nuFwnvYpKg7jjrmNY2ipGnakyAym,F8YTtf5c,unknown,2026-07-09T02:10:19.677342+00:00,2026-07-09T02:10:19.699450+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563019,pending,tg_BbbAY4xmo6wcY1LA_1783563019,BbbAY4xmo6wcY1LAN833nQVxJEhevhosrfnX8Bfej6wg,BbbAY4xm,unknown,2026-07-09T02:10:19.748638+00:00,2026-07-09T02:10:19.762011+00:00,0.01,6,trace_started,trace_finished
tr_pending_1783563019,pending,tg_Hq6dfbewnAKiLdjt_1783563019,Hq6dfbewnAKiLdjtr8x2kzPj6bDEABmtPmQSV7uUHTF4,Hq6dfbew,unknown,2026-07-09T02:10:19.866621+00:00,2026-07-09T02:10:19.885500+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563064,pending,tg_8y83ZUQH8gsbYa9q_1783563064,8y83ZUQH8gsbYa9qEyYF6Wdqw3so7L9ThsWREuCVXWTr,8y83ZUQH,unknown,2026-07-09T02:11:04.422928+00:00,2026-07-09T02:11:04.435276+00:00,0.01,6,trace_started,trace_finished
tr_pending_1783563064,pending,tg_24XmpY1Xk2miETKY_1783563064,24XmpY1Xk2miETKYwFpLnHyqKLyewcQujMWXcfz6hHiv,24XmpY1X,unknown,2026-07-09T02:11:04.599697+00:00,2026-07-09T02:11:04.613125+00:00,0.01,6,trace_started,trace_finished
tr_pending_1783563064,pending,tg_Cv5GgkpXvtXcsrMc_1783563064,Cv5GgkpXvtXcsrMcKCJvx46BpMjiM61mpPU1j8RbbbVL,Cv5GgkpX,unknown,2026-07-09T02:11:04.777601+00:00,2026-07-09T02:11:04.834761+00:00,0.06,8,trace_started,trace_finished
tr_pending_1783563064,pending,tg_BbbAY4xmo6wcY1LA_1783563064,BbbAY4xmo6wcY1LAN833nQVxJEhevhosrfnX8Bfej6wg,BbbAY4xm,unknown,2026-07-09T02:11:04.956434+00:00,2026-07-09T02:11:04.994892+00:00,0.04,6,trace_started,trace_finished
tr_pending_1783563065,pending,tg_Hq6dfbewnAKiLdjt_1783563065,Hq6dfbewnAKiLdjtr8x2kzPj6bDEABmtPmQSV7uUHTF4,Hq6dfbew,unknown,2026-07-09T02:11:05.065076+00:00,2026-07-09T02:11:05.273103+00:00,0.21,6,trace_started,trace_finished
tr_pending_1783563109,pending,tg_8y83ZUQH8gsbYa9q_1783563109,8y83ZUQH8gsbYa9qEyYF6Wdqw3so7L9ThsWREuCVXWTr,8y83ZUQH,unknown,2026-07-09T02:11:49.620484+00:00,2026-07-09T02:11:49.639852+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563109,pending,tg_Cv5GgkpXvtXcsrMc_1783563109,Cv5GgkpXvtXcsrMcKCJvx46BpMjiM61mpPU1j8RbbbVL,Cv5GgkpX,unknown,2026-07-09T02:11:49.998289+00:00,2026-07-09T02:11:50.042560+00:00,0.04,6,trace_started,trace_finished
tr_pending_1783563110,pending,tg_BbbAY4xmo6wcY1LA_1783563110,BbbAY4xmo6wcY1LAN833nQVxJEhevhosrfnX8Bfej6wg,BbbAY4xm,unknown,2026-07-09T02:11:50.141858+00:00,2026-07-09T02:11:50.271561+00:00,0.13,6,trace_started,trace_finished
tr_pending_1783563110,pending,tg_Hq6dfbewnAKiLdjt_1783563110,Hq6dfbewnAKiLdjtr8x2kzPj6bDEABmtPmQSV7uUHTF4,Hq6dfbew,unknown,2026-07-09T02:11:50.276023+00:00,2026-07-09T02:11:50.298230+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563152,pending,tg_vAxoY1wn8wuqvoFk_1783563152,vAxoY1wn8wuqvoFkCpPjKiMKCxWQvY7cqg1KsywpHXi,vAxoY1wn,unknown,2026-07-09T02:12:32.253353+00:00,2026-07-09T02:12:32.292449+00:00,0.04,8,trace_started,trace_finished
tr_pending_1783563152,pending,tg_DWhe6jRsQuszJQC7_1783563152,DWhe6jRsQuszJQC7XaMYQmpkDFtbkuwz29JBoDTySKnf,DWhe6jRs,unknown,2026-07-09T02:12:32.293634+00:00,2026-07-09T02:12:32.454898+00:00,0.16,6,trace_started,trace_finished
