timestamp,market_id,question,yes_price,posterior,preferred_side,adjusted_edge,confidence,risk_score,risk_multiplier,volume,liquidity_depth
2026-03-24T01:01:01.780839,540820,Trump out as President before GTA VI?,0.53,0.6478706624605679,buy_yes,0.09571097791798112,0.812,0.282,1.0,549196.9737710088,59914.3638
2026-03-24T01:01:01.780846,540843,Will China invades Taiwan before GTA VI?,0.51,0.6293789808917197,buy_yes,0.09598070063694267,0.804,0.294,1.0,1505273.908548021,83939.5055
2026-03-24T01:01:01.780853,540844,Will bitcoin hit $1m before GTA VI?,0.489,0.6095785748753418,buy_yes,0.09699340562972499,0.8044,0.2934,1.0,3733209.2504106825,420829.537
2026-03-24T01:01:01.780860,540881,GTA VI released before June 2026?,0.022,0.027833001988071576,buy_yes,0.005422008059959927,0.9295398957600001,0.07486010424000003,1.0,12820310.213412954,42292.48697
2026-03-24T01:01:01.780867,544092,Will Harvey Weinstein be sentenced to no prison time?,0.317,0.43093316961936495,buy_yes,0.025793596957417442,0.22639234073439984,0.7705363901692002,0.3,167643.65451799982,2384.67714
2026-03-26T12:56:50.078740,531202,BitBoy convicted?,0.078,0.09720491365497597,buy_yes,0.008051903445733989,0.4192626736255985,0.5403828467408012,0.6,220227.60183199806,9285.07402
2026-03-26T12:56:50.078771,540816,Russia-Ukraine Ceasefire before GTA VI?,0.54,0.6569858712715856,buy_yes,0.09546047095761381,0.8160000000000001,0.27599999999999997,1.0,1402323.0111889965,99665.2982
2026-03-26T12:56:50.078786,540817,New Rihanna Album before GTA VI?,0.6,0.7099236641221374,buy_yes,0.07825557237251908,0.711908332,0.36809166800000004,0.6,674943.9575090023,33988.5415
2026-03-26T12:56:50.078796,540818,New Playboi Carti Album before GTA VI?,0.66,0.7600297176820209,buy_yes,0.07422530772773853,0.7420325624000002,0.3259674376,0.6,709197.1664419994,34754.0703
2026-03-26T12:56:50.078805,540819,Will Jesus Christ return before GTA VI?,0.49,0.6105305466237941,buy_yes,0.0969065594855305,0.804,0.294,1.0,10157798.625258114,864766.1038
2026-03-26T12:56:50.078815,540820,Trump out as President before GTA VI?,0.53,0.6478706624605679,buy_yes,0.09571097791798112,0.812,0.282,1.0,554659.1589150083,126278.6924
2026-03-26T12:56:50.078824,540843,Will China invades Taiwan before GTA VI?,0.52,0.6386687797147386,buy_yes,0.09588437400950875,0.808,0.288,1.0,1510194.2492670289,133306.7128
